name,city_clean,city_tier,location,cusine,rating,votes,cost_for_two,price_tier,has_online_order,has_table_booking,delivery_only,anom_iqr_cost,anom_zscore_cost,anom_isoforest,operational_risk
Barbeque Village,Pune,Tier 1,Pashan,"North Indian, Awadhi, BBQ",2.8,725,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Valentine Square,Pune,Tier 1,Pimple Nilakh,"North Indian, Chinese",2.8,50,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Cafe 15A - St Laurn Hotel,Pune,Tier 1,Koregaon Park,"North Indian, Chinese, Continental",2.7,63,1000.0,Premium (700-1500),False,False,False,True,False,True,True
SpiceKraft,Mumbai,Tier 1,Mira Road,"North Indian, Chinese, Continental, Malwani, Thai, Desserts",2.7,28,1000.0,Premium (700-1500),True,True,False,True,False,True,True
Cups and Mugs - Hotel Satkar Residency,Mumbai,Tier 1,"Majiwada, Thane West",Fast Food,2.9,4,700.0,Premium (700-1500),False,False,False,False,False,False,True
Donne Biriyani Mane,Bengaluru,Tier 1,Majestic,"Biryani, Chinese, North Indian, Hyderabadi",2.7,29,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Any Body Can Dine,Hyderabad,Tier 1,Lingampally,Hyderabadi,2.7,20,550.0,Mid-range (300-700),False,False,False,False,False,False,True
@ Biryani Central,Bengaluru,Tier 1,Marathahalli,"Biryani, Mughlai, Chinese",2.8,143,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Roshal Garden,Pune,Tier 1,Bhosari,"North Indian, Chinese",2.9,18,700.0,Premium (700-1500),True,False,False,False,False,False,True
Hotel Soundarya,Pune,Tier 1,Sadashiv Peth,"North Indian, Biryani",2.9,22,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Chandni Garden,Pune,Tier 1,Sinhgad Road,"North Indian, Chinese",2.9,16,600.0,Mid-range (300-700),True,False,False,False,False,False,True
The Little Kitchen,Mumbai,Tier 1,Mahim,"Chinese, Mughlai",2.9,17,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Bommarillu,Hyderabad,Tier 1,Miyapur,"North Indian, Chinese, Biryani",2.4,400,700.0,Premium (700-1500),True,False,False,False,False,True,True
Vighneshwara Pure Veg,Pune,Tier 1,Shukrawar Peth,"North Indian, South Indian, Street Food",2.8,35,700.0,Premium (700-1500),True,False,False,False,False,False,True
Nagina Restaurant And Bar,Mumbai,Tier 1,Grant Road,"Mughlai, Chinese, Continental",2.9,8,700.0,Premium (700-1500),False,False,False,False,False,False,True
Captain Family Restaurant & Bar,Mumbai,Tier 1,Kalamboli,"North Indian, Chinese, Seafood",2.8,16,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Cinnamon - Hotel Suba International,Mumbai,Tier 1,Chakala,"Mediterranean, North Indian, Chinese, American",2.4,65,2500.0,Luxury (1500+),False,False,False,True,True,True,True
Gaurav,Mumbai,Tier 1,Kandivali West,"Chinese, North Indian",2.9,5,700.0,Premium (700-1500),False,False,False,False,False,False,True
Nice Cafe,Hyderabad,Tier 1,Falaknuma,North Indian,2.9,24,700.0,Premium (700-1500),False,False,False,False,False,False,True
Todo Mia,Pune,Tier 1,Hinjawadi,"Continental, Mexican, Burger, Beverages, Italian, Arabian",2.7,186,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Crunch Pizzas,Bengaluru,Tier 1,Banaswadi,"Italian, Pizza",2.6,235,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Atmosphere,Pune,Tier 1,Viman Nagar,North Indian,2.7,13,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Taste Is Best,Pune,Tier 1,Hinjawadi,"North Indian, Chinese",2.6,609,700.0,Premium (700-1500),True,False,False,False,False,True,True
Friends Diner,Bengaluru,Tier 1,Whitefield,"Continental, Italian, Pizza",2.8,36,700.0,Premium (700-1500),False,False,False,False,False,False,True
Veggies - Picaddle Resort,Pune,Tier 1,Lonavala,"North Indian, Continental",2.8,43,950.0,Premium (700-1500),False,False,False,False,False,False,True
Neelam NX,Mumbai,Tier 1,Borivali West,"Chinese, North Indian",2.7,12,700.0,Premium (700-1500),True,False,False,False,False,False,True
Naidu Military Hotel,Bengaluru,Tier 1,Shanti Nagar,"South Indian, Chinese, Biryani",2.8,26,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Drunken Diaries,Pune,Tier 1,NIBM Road,"Italian, Continental",2.9,74,1250.0,Premium (700-1500),False,False,False,True,False,True,True
Zam Zam Darbar,Bengaluru,Tier 1,BTM,"North Indian, Seafood, Chinese",2.8,89,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Designer Cake Lovers,Hyderabad,Tier 1,Kothapet,Bakery,2.9,26,700.0,Premium (700-1500),False,False,False,False,False,False,True
Naigaon Express,Mumbai,Tier 1,Vasai,"North Indian, Chinese, Fast Food",2.9,10,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Dragon Family Restaurant,Pune,Tier 1,JM Road,"Chinese, North Indian",2.5,99,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Coastal Tadka,Mumbai,Tier 1,Dadar West,"North Indian, Chinese, Seafood",2.5,33,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Rouge,Hyderabad,Tier 1,Kondapur,"Continental, Chinese",2.9,45,800.0,Premium (700-1500),True,False,False,False,False,False,True
Seven Spices - Manipal County,Bengaluru,Tier 1,Electronic City,"North Indian, Chinese, Continental",2.8,41,900.0,Premium (700-1500),False,False,False,False,False,False,True
Cafe Durga,Pune,Tier 1,Dhanori,"North Indian, Chinese",2.7,13,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Horn Ok Please,Mumbai,Tier 1,Bhandup,"North Indian, Chinese",2.3,69,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Leo's Food Court,Hyderabad,Tier 1,Sainikpuri,"Chinese, North Indian, Biryani",2.3,362,750.0,Premium (700-1500),False,True,False,False,False,True,True
Hotel Shilpi Family Restaurant,Hyderabad,Tier 1,Dilsukhnagar,"North Indian, Chinese",2.7,52,750.0,Premium (700-1500),False,False,False,False,False,False,True
Hyderabadi Bawarchi Multi Cuisine Restaurant,Bengaluru,Tier 1,Hebbal,"Biryani, North Indian, Chinese",2.9,101,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Red Rose,Mumbai,Tier 1,Thane East,"Chinese, North Indian",2.9,9,1000.0,Premium (700-1500),False,False,False,True,False,False,True
Kaveri Hotel,Mumbai,Tier 1,Bhandup,"Chinese, North Indian, Biryani",2.1,32,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Hotel Walton,Mumbai,Tier 1,Vasai,"North Indian, Chinese, South Indian",2.6,33,600.0,Mid-range (300-700),False,False,False,False,False,False,True
K Restaurant,Hyderabad,Tier 1,Manikonda,"North Indian, Chinese",2.7,44,900.0,Premium (700-1500),True,False,False,False,False,False,True
Hyderabad Hosts,Hyderabad,Tier 1,Madhapur,"Biryani, North Indian, Chinese, Hyderabadi",2.4,324,800.0,Premium (700-1500),False,False,False,False,False,True,True
New Tandoori Point,Bengaluru,Tier 1,Marathahalli,"North Indian, Chinese, Kebab",2.4,58,600.0,Mid-range (300-700),False,False,False,False,False,True,True
Aryan Restaurant,Pune,Tier 1,FC Road,"Chinese, North Indian, South Indian",2.5,82,600.0,Mid-range (300-700),False,False,False,False,False,True,True
The BB Kitchen,Mumbai,Tier 1,"Kasarvadavli, Thane West","North Indian, Chinese",2.8,113,700.0,Premium (700-1500),True,False,False,False,False,False,True
Forkeaters,Hyderabad,Tier 1,Marredpally,"South Indian, North Indian, Continental, Italian",2.6,56,800.0,Premium (700-1500),True,False,False,False,False,True,True
Green Spice Family Restaurant,Mumbai,Tier 1,Dombivali West,"Chinese, North Indian, Seafood",2.8,5,700.0,Premium (700-1500),True,False,False,False,False,False,True
New Good Luck Restaurant,Mumbai,Tier 1,"Versova, Andheri West","North Indian, Chinese, Fast Food, Beverages",2.9,5,800.0,Premium (700-1500),False,False,False,False,False,False,True
Pulav House,Hyderabad,Tier 1,Gachibowli,"South Indian, North Indian, Chinese",2.5,346,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Upper Deck BY YOLO,Pune,Tier 1,Pimple Saudagar,"Continental, Finger Food",2.9,8,1200.0,Premium (700-1500),False,True,False,True,False,True,True
Sudit Su's Chinese,Pune,Tier 1,Kothrud,"Chinese, Kebab",2.6,281,700.0,Premium (700-1500),True,False,False,False,False,True,True
Dhaba 65,Hyderabad,Tier 1,Malkajgiri,"North Indian, South Indian",2.4,340,550.0,Mid-range (300-700),True,False,False,False,False,True,True
Big Buffet Restaurant,Hyderabad,Tier 1,Jubilee Hills,"Biryani, North Indian",2.9,36,700.0,Premium (700-1500),True,False,False,False,False,False,True
Mumbai Creams,Mumbai,Tier 1,"Oshiwara, Andheri West","South Indian, Continental, Desserts",2.7,123,800.0,Premium (700-1500),False,False,False,False,False,False,True
K & S Kitchen's,Hyderabad,Tier 1,PG Road,"North Indian, Chinese, Biryani",2.8,348,750.0,Premium (700-1500),True,False,False,False,False,False,True
Waater 9,Pune,Tier 1,Bavdhan,"North Indian, Chinese",2.8,14,1000.0,Premium (700-1500),False,False,False,True,False,False,True
RBP Greens Garden,Bengaluru,Tier 1,BTM,"North Indian, Chinese",2.9,58,700.0,Premium (700-1500),True,False,False,False,False,False,True
Shree Devi Hotel,Mumbai,Tier 1,Kalyan,"North Indian, Chinese, South Indian, Fast Food",2.9,12,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Grub Hub,Mumbai,Tier 1,"Versova, Andheri West",North Indian,2.8,22,1300.0,Premium (700-1500),True,False,False,True,False,True,True
Maha Bhojan,Bengaluru,Tier 1,BTM,"North Indian, Chinese, Odia, Bengali, Beverages",2.9,20,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Bheema Family Restaurant,Hyderabad,Tier 1,Miyapur,"North Indian, Chinese, South Indian",2.5,337,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Sri Bommarillu Restaurant,Hyderabad,Tier 1,Medchal Road,"North Indian, South Indian, Chinese",2.9,56,750.0,Premium (700-1500),False,False,False,False,False,False,True
Cafe Brookside,Pune,Tier 1,Viman Nagar,"North Indian, Mughlai, Chinese, Continental",2.9,59,1100.0,Premium (700-1500),False,False,False,True,False,False,True
Binger Big Bite,Mumbai,Tier 1,New Panvel,"Fast Food, Beverages",2.3,90,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Janvi Restaurant,Pune,Tier 1,Bhugaon,"North Indian, South Indian, Chinese",2.8,19,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Farmaish Family Restaurant,Pune,Tier 1,Hadapsar,"Indian, Chinese, Fast Food, Seafood",2.9,12,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Jalsa Family Garden Restaurant,Pune,Tier 1,Kothrud,"North Indian, Chinese",2.8,5,700.0,Premium (700-1500),False,False,False,False,False,False,True
Biso - Citrus Hotel,Pune,Tier 1,Chinchwad,"North Indian, South Indian, European, Maharashtrian",2.7,18,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Baba Bar & Restaurant,Mumbai,Tier 1,Nerul,"North Indian, Chinese, Malwani, Biryani, Seafood",2.8,4,650.0,Mid-range (300-700),True,False,False,False,False,False,True
Crossroad,Hyderabad,Tier 1,Madhapur,"North Indian, Chinese, Continental",2.8,32,900.0,Premium (700-1500),True,False,False,False,False,False,True
Hotel Akshat,Pune,Tier 1,Wakad,"Chinese, North Indian, Biryani",2.6,48,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Hotel Swami Fine Dining,Mumbai,Tier 1,Old Panvel,"North Indian, Chinese, Kebab, Biryani",2.9,6,800.0,Premium (700-1500),True,False,False,False,False,False,True
Hotel Alvita,Mumbai,Tier 1,Chakala,"South Indian, North Indian, Chinese, Seafood",2.9,6,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Hotel Masoli,Pune,Tier 1,Dhankawadi,"North Indian, Maharashtrian, Seafood",2.9,10,600.0,Mid-range (300-700),True,True,False,False,False,False,True
Spicy 13,Pune,Tier 1,Ravet,"North Indian, Chinese, Fast Food, Beverages",2.8,54,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Hotel Golden Chirag,Mumbai,Tier 1,Ghansoli,"Chinese, North Indian",2.8,13,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Shivaganga Restaurant & Bar,Hyderabad,Tier 1,Malakpet,"North Indian, Chinese, Biryani",2.9,19,800.0,Premium (700-1500),False,False,False,False,False,False,True
Cake world,Hyderabad,Tier 1,Gachibowli,Bakery,2.9,14,550.0,Mid-range (300-700),True,False,True,False,False,False,True
Taniska,Mumbai,Tier 1,Dombivali East,"South Indian, Malwani, North Indian",2.9,6,1000.0,Premium (700-1500),False,False,False,True,False,False,True
Authentic Royal,Pune,Tier 1,Hadapsar,"North Indian, Chinese, Fast Food",2.5,20,700.0,Premium (700-1500),False,False,False,False,False,True,True
Cassia - Hampshire Plaza,Hyderabad,Tier 1,Lakdikapul,"European, North Indian, Italian, Chinese",2.8,35,1000.0,Premium (700-1500),False,False,False,True,False,False,True
Hotel Bhavani Grand Multicuisine Family Restaurant,Hyderabad,Tier 1,Nizampet,"North Indian, Chinese",2.8,45,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Kavita's Evening Kitchen,Mumbai,Tier 1,Kandivali East,North Indian,2.7,56,800.0,Premium (700-1500),True,False,True,False,False,False,True
Baba's Corner,Pune,Tier 1,Camp Area,"Chinese, North Indian, Street Food, Fast Food, Beverages",2.8,19,700.0,Premium (700-1500),True,False,False,False,False,False,True
Yin Yang Box,Mumbai,Tier 1,Colaba,Chinese,2.9,61,600.0,Mid-range (300-700),True,False,True,False,False,False,True
The Biryani & Kebab Company,Pune,Tier 1,Viman Nagar,"North Indian, Kebab, Biryani",2.8,67,550.0,Mid-range (300-700),True,False,True,False,False,False,True
Papa Pizza N Kafe,Bengaluru,Tier 1,CV Raman Nagar,"Pizza, Italian",2.9,18,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Eggy,Mumbai,Tier 1,Mahakali,North Indian,2.8,12,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Sree Krishna,Hyderabad,Tier 1,Ameerpet,"North Indian, Mughlai, Chinese",2.8,42,700.0,Premium (700-1500),False,False,False,False,False,False,True
Al Arabian Mataam Al-Mandi,Hyderabad,Tier 1,Begumpet,Arabian,2.4,246,700.0,Premium (700-1500),False,False,False,False,False,True,True
Hyderabad Darbar,Hyderabad,Tier 1,Gachibowli,"Hyderabadi, Chinese",2.9,60,750.0,Premium (700-1500),False,False,False,False,False,False,True
Midnight Express,Bengaluru,Tier 1,Koramangala 5th Block,"North Indian, Chinese, Continental",2.8,26,650.0,Mid-range (300-700),False,False,False,False,False,False,True
Budget Meal,Hyderabad,Tier 1,Gachibowli,"North Indian, South Indian, Chinese, Continental",2.8,287,700.0,Premium (700-1500),True,False,False,False,False,False,True
Purple Hazee,Hyderabad,Tier 1,Begumpet,"Continental, North Indian, Chinese",2.7,42,900.0,Premium (700-1500),False,False,False,False,False,False,True
A1 Taj Family Dhaba,Hyderabad,Tier 1,Medchal Road,"North Indian, Chinese",2.6,30,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Swaadishta Restaurant,Bengaluru,Tier 1,Sadashiv Nagar,"Andhra, North Indian, Chinese, Mangalorean",2.6,63,750.0,Premium (700-1500),False,False,False,False,False,True,True
Utsav Grand,Hyderabad,Tier 1,Chanda Nagar,"Mughlai, North Indian, Chinese",2.9,6,750.0,Premium (700-1500),True,False,False,False,False,False,True
Malwani Dayz,Pune,Tier 1,Hadapsar,"North Indian, Chinese",2.9,33,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Midnight Restaurant,Hyderabad,Tier 1,Kukatpally,"North Indian, Chinese",2.7,44,800.0,Premium (700-1500),True,False,False,False,False,False,True
China Express,Hyderabad,Tier 1,Banjara Hills,Chinese,2.8,29,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Flavors Restaurant,Bengaluru,Tier 1,Whitefield,"North Indian, Chinese",2.9,16,700.0,Premium (700-1500),False,False,False,False,False,False,True
Shailaja Restaurant & Bar,Pune,Tier 1,JM Road,"North Indian, Seafood, Biryani, Chinese, Desserts",2.6,22,700.0,Premium (700-1500),False,False,False,False,False,True,True
Tandoor Hut,Bengaluru,Tier 1,Bannerghatta Road,"North Indian, Chinese",2.2,90,750.0,Premium (700-1500),False,False,False,False,False,True,True
Shipyard,Pune,Tier 1,Wanowrie,"North Indian, Chinese",2.9,42,900.0,Premium (700-1500),False,False,False,False,False,False,True
Smokin' Lee's,Pune,Tier 1,Nigdi,"Chinese, Fast Food",2.8,17,700.0,Premium (700-1500),False,False,False,False,False,False,True
Woodland's Samudra,Pune,Tier 1,Satara Road,"Seafood, Maharashtrian, Mangalorean, North Indian, Chinese",2.9,16,1100.0,Premium (700-1500),False,False,False,True,False,False,True
Sunrise Restaurant,Pune,Tier 1,Hinjawadi,"North Indian, Chinese",2.8,15,1700.0,Luxury (1500+),False,False,False,True,True,True,True
Golden Bar,Mumbai,Tier 1,Mira Road,"Seafood, North Indian, Mangalorean, Chinese",2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Neptune - Fortune Inn Exotica,Pune,Tier 1,Hinjawadi,"North Indian, Chinese, Continental",2.5,24,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Ankush Restaurant & Bar,Mumbai,Tier 1,Kurla,"Chinese, North Indian, Mughlai",2.9,10,700.0,Premium (700-1500),False,False,False,False,False,False,True
Vishwavilas Biryani House,Pune,Tier 1,Bhosari,"North Indian, Chinese, Maharashtrian",2.7,21,1300.0,Premium (700-1500),False,False,False,True,False,True,True
Turquoise,Bengaluru,Tier 1,JP Nagar,North Indian,2.9,55,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Hotel Sitai,Pune,Tier 1,Bhosari,"North Indian, Chinese",2.7,8,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Bhagini Residency Multi-Cuisine Restaurant,Bengaluru,Tier 1,Rammurthy Nagar,"North Indian, Chinese",2.9,17,1000.0,Premium (700-1500),False,False,False,True,False,False,True
Adarsh,Mumbai,Tier 1,Kopar Khairane,"North Indian, Chinese, Mughlai",2.9,14,650.0,Mid-range (300-700),False,False,False,False,False,False,True
Curry Leaves,Mumbai,Tier 1,Marol,"North Indian, Chinese",2.8,8,750.0,Premium (700-1500),False,False,False,False,False,False,True
City Pride Restaurant,Hyderabad,Tier 1,Manikonda,"Biryani, Chinese, Hyderabadi, Mughlai, Seafood",2.5,259,700.0,Premium (700-1500),True,False,False,False,False,True,True
Aahar Restaurant,Hyderabad,Tier 1,Alwal,"North Indian, Chinese",2.5,269,600.0,Mid-range (300-700),False,False,False,False,False,True,True
LSD Cafe,Bengaluru,Tier 1,Banashankari,"Chinese, Continental, Italian, North Indian",2.9,85,700.0,Premium (700-1500),False,False,True,False,False,False,True
Gauri's Resto & Kitchen,Pune,Tier 1,Wanowrie,"North Indian, Chinese, South Indian",2.9,7,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Nalaas,Bengaluru,Tier 1,Bellandur,"North Indian, Chinese",2.8,16,650.0,Mid-range (300-700),True,False,False,False,False,False,True
Hotel Ashoka,Pune,Tier 1,Hinjawadi,"Chinese, North Indian, Seafood",2.7,7,700.0,Premium (700-1500),False,False,False,False,False,False,True
Hippie House Restaurant and Lounge,Pune,Tier 1,Kharadi,"Chinese, Biryani, North Indian",2.9,19,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Thirumala Green Palace,Bengaluru,Tier 1,Mysore Road,"North Indian, Chinese, Mughlai",2.5,51,600.0,Mid-range (300-700),False,False,False,False,False,True,True
The Pavillion,Bengaluru,Tier 1,JP Nagar,"North Indian, Continental, South Indian, Chinese",2.7,43,1000.0,Premium (700-1500),False,False,False,True,False,True,True
Mughals,Pune,Tier 1,Dhole Patil Road,Mughlai,2.8,61,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Swaraj Restaurant,Pune,Tier 1,Pimple Saudagar,"North Indian, Chinese",2.4,47,650.0,Mid-range (300-700),False,False,False,False,False,True,True
Sri Rama Durga Bar & Restaurant,Hyderabad,Tier 1,Manikonda,"North Indian, Chinese",2.9,4,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Gold Bean,Bengaluru,Tier 1,HSR,Cafe,2.5,114,550.0,Mid-range (300-700),False,False,False,False,False,True,True
Capsicum Restaurant And Bar,Pune,Tier 1,Baner,"North Indian, Chinese",2.9,13,1000.0,Premium (700-1500),True,False,False,True,False,False,True
Sitara Restaurant & Bar,Hyderabad,Tier 1,Jeedimetla,"North Indian, Chinese",2.7,49,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Thekka Restro & Lounge,Pune,Tier 1,Hinjawadi,"Bar Food, North Indian",2.9,9,1000.0,Premium (700-1500),False,False,False,True,False,False,True
Speedy Punjabi,Pune,Tier 1,Wakad,"North Indian, Chinese",2.4,42,750.0,Premium (700-1500),False,False,False,False,False,True,True
Katraj Junction,Pune,Tier 1,Katraj,"North Indian, Chinese",2.9,14,1000.0,Premium (700-1500),False,False,False,True,False,False,True
BABA'S KITCHEN,Mumbai,Tier 1,Kamothe,"North Indian, Chinese",2.9,7,800.0,Premium (700-1500),False,False,False,False,False,False,True
Foodland Restaurant,Pune,Tier 1,Bund Garden Road,"North Indian, Chinese, Seafood",2.8,45,1200.0,Premium (700-1500),True,False,False,True,False,True,True
Shri Krishna Grand,Hyderabad,Tier 1,Miyapur,"North Indian, South Indian, Chinese",2.8,266,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Talk About Multi Cuisine Restaurant & Bar,Pune,Tier 1,Hinjawadi,"North Indian, Chinese, Italian, Japanese, Continental",2.7,179,1000.0,Premium (700-1500),True,True,False,True,False,True,True
The Garage Cafe,Hyderabad,Tier 1,Srinagar Colony,"Cafe, North Indian, Fast Food",2.8,206,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Murali Veg Treat,Pune,Tier 1,Nigdi,"Chinese, North Indian, South Indian, Fast Food",2.6,65,600.0,Mid-range (300-700),True,False,False,False,False,False,True
My Place Restaurant,Hyderabad,Tier 1,Kompally,Chinese,2.9,8,900.0,Premium (700-1500),True,False,False,False,False,False,True
Tandooriwala,Bengaluru,Tier 1,Old Madras Road,"North Indian, Mughlai, Biryani",2.4,126,700.0,Premium (700-1500),False,False,False,False,False,True,True
Kareem's Chinese & Tawa,Mumbai,Tier 1,Goregaon East,"Chinese, Rolls",2.9,17,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Puneri Tadka,Pune,Tier 1,Dhanori,"North Indian, Chinese",2.9,40,700.0,Premium (700-1500),True,False,False,False,False,False,True
Sher-E-Punjab,Pune,Tier 1,Vishrantwadi,"North Indian, Chinese, Biryani",2.7,104,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Friends Forever,Pune,Tier 1,Wakad,"North Indian, Chinese, Mughlai",2.8,13,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Filmy Junction,Hyderabad,Tier 1,Film Nagar,"Andhra, Biryani, Chinese, Continental, North Indian, South Indian, Mughlai",2.6,172,1500.0,Luxury (1500+),True,False,False,True,False,True,True
Hangout,Hyderabad,Tier 1,Langer Houz,"Pizza, Burger, Fast Food",2.3,238,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Paradise Cafe,Pune,Tier 1,Mulshi Road,"North Indian, Chinese",2.3,187,600.0,Mid-range (300-700),False,False,False,False,False,True,True
Bagban Restaurant,Pune,Tier 1,East Street,"North Indian, Mughlai",2.2,1181,550.0,Mid-range (300-700),False,False,False,False,False,True,True
Kalash,Pune,Tier 1,Kondhwa,"North Indian, Chinese, South Indian, Fast Food",2.9,60,600.0,Mid-range (300-700),True,True,False,False,False,False,True
The Perfect Slice,Pune,Tier 1,NIBM Road,"Cafe, Fast Food",2.8,24,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Wildernest,Pune,Tier 1,Khadakwasla,"North Indian, Chinese",2.7,31,850.0,Premium (700-1500),False,False,False,False,False,False,True
Oasis Bar & Restaurant,Bengaluru,Tier 1,Electronic City,"North Indian, Chinese",2.9,29,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Malvani Swag,Mumbai,Tier 1,"Hiranandani Estate, Thane West","Goan, Malwani, North Indian, Lebanese, Fast Food",2.9,6,650.0,Mid-range (300-700),True,False,False,False,False,False,True
Bindu Garden Bar & Restaurant,Bengaluru,Tier 1,HSR,"North Indian, Chinese",2.9,37,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Food Mahal,Hyderabad,Tier 1,Kukatpally,"North Indian, South Indian",2.9,5,750.0,Premium (700-1500),True,False,False,False,False,False,True
Hotel Crystal 7 Cuisine,Hyderabad,Tier 1,Masab Tank,"North Indian, Chinese, South Indian",2.5,122,900.0,Premium (700-1500),False,True,False,False,False,True,True
Singh Saab,Hyderabad,Tier 1,Gachibowli,"North Indian, Biryani",2.8,9,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Taste of India,Hyderabad,Tier 1,Habsiguda,"North Indian, South Indian, Chinese, Continental",2.8,246,950.0,Premium (700-1500),True,False,False,False,False,False,True
Pizza Hut,Pune,Tier 1,Kothrud,"Pizza, Fast Food, Italian",2.8,761,900.0,Premium (700-1500),True,False,False,False,False,False,True
Loca Moca,Bengaluru,Tier 1,Frazer Town,"Cafe, Continental",2.8,47,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Saiba,Mumbai,Tier 1,Seawoods,"Chinese, North Indian, Kebab",2.9,9,600.0,Mid-range (300-700),True,False,False,False,False,False,True
The Pizzeria,Bengaluru,Tier 1,Banashankari,"Pizza, Italian, Salad",2.8,45,800.0,Premium (700-1500),True,False,False,False,False,False,True
Dubai Kitchen,Chennai,Tier 1,Neelangarai,"Arabian, North Indian, South Indian",2.5,98,700.0,Premium (700-1500),False,False,False,False,False,True,True
Holi,Hyderabad,Tier 1,Kondapur,"North Indian, Chinese",2.6,209,900.0,Premium (700-1500),False,False,False,False,False,True,True
Sandesh Restaurant,Bengaluru,Tier 1,Hennur,"North Indian, Chinese, Bengali",2.6,35,650.0,Mid-range (300-700),True,False,False,False,False,True,True
Horizon Resto,Pune,Tier 1,Vishrantwadi,"Mughlai, North Indian, Chinese, Seafood",2.9,8,800.0,Premium (700-1500),False,False,False,False,False,False,True
Cafe Centralis,Bengaluru,Tier 1,New BEL Road,"Cafe, Chinese",2.7,120,800.0,Premium (700-1500),True,False,False,False,False,False,True
New Naakhwa,Pune,Tier 1,Balewadi,"North Indian, Chinese, Seafood",2.9,9,800.0,Premium (700-1500),False,False,False,False,False,False,True
Red Bawarchi,Bengaluru,Tier 1,Koramangala 7th Block,"Biryani, Chinese, North Indian",2.9,20,600.0,Mid-range (300-700),True,False,True,False,False,False,True
WYT RestroPub,Bengaluru,Tier 1,MG Road,"North Indian, Chinese",2.5,420,1500.0,Luxury (1500+),False,False,False,True,False,True,True
Bavdhan Chaupati,Pune,Tier 1,Bavdhan,"North Indian, Chinese, Beverages",2.4,155,550.0,Mid-range (300-700),False,False,False,False,False,True,True
Radha Krishna,Pune,Tier 1,Pimple Saudagar,"North Indian, Chinese",2.7,659,750.0,Premium (700-1500),True,False,False,False,False,False,True
Food Mafiaa,Pune,Tier 1,Pashan,"Chinese, North Indian",2.6,81,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Paranthe Wali Gali,Hyderabad,Tier 1,Sainikpuri,"Biryani, Beverages, North Indian",2.6,198,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Megabites,Pune,Tier 1,Magarpatta,"North Indian, Chinese, Hyderabadi",2.8,95,600.0,Mid-range (300-700),True,False,True,False,False,False,True
